autor_tweet,id_tweet,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion
1405319015636115461,_comediscos,"16 junio 27  aniversario Shout, no dije nada, ya se disfrutará, gracias a la grandes memorias que escribieron o visitaron, guardad los regalos!!! en Shout https://t.co/DLHT9DGJTN",3,1,1,0,0,5,0,4,1,1,1,0,0,2,0,0,0,0,1,6,7,0,2,1,1,5,5,2,3,0,0,1,0,1,1,1,0,0,0,0,,0,0,1,4,2,4.88,5,4,1,7
1405320845854134274,_Jalex5,"Otra NOCHE más 🪐🌙 junto al maestro @fermin.ortiz.zitromusic #neversleep
#produccion #music #produccionmusical
🔥 🔥 🔥 en Madrid, Spain https://t.co/5pJP8rpBbg",0,0,0,0,0,0,0,3,2,1,3,0,1,0,0,0,0,0,2,3,5,2,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,5,4,2,3,5,3.3846153846153846,3,2,1,1
1405325119497641985,_marcelogongora,"Las tormentas de primavera son de colores

#tormenta #tormento #primavera2021 #photostormphotography #photostorm #úbeda #ubeda en Andalusia https://t.co/wtIvutFTUE",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,1,5,9,5.818181818181818,0,0,1,0
1405325169757917184,_PandaOchy,"Cuando Esperanza Gracia nos quiere a @nosgoth86 (Piscis) y a un servidor (géminis) jajajajajaja en Playa de Oliva, Oliva https://t.co/FMsckdD14Z",0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,8,1,9,1,0,1,0,8,8,4,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,5,6,5.105263157894737,2,2,1,5
1405325672051089411,_LuisFelipe0725,#lasmejoresvacaciones #mama #papa #españa en Cervera de Buitrago https://t.co/cxMMbetLjH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,6,2,5,0,0,0,0
1405326189758226436,_LuisFelipe0725,#españa #elmejorpais #graciasDios en Robledillo de la Jara https://t.co/JsSx956vAX,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,3.0,2,4.333333333333333,0,0,0,0
1405326243998883840,_Stubylok,@debuxos_a_esgalla ha sacado su libro!!! 👏🏼👏🏼👏🏼 Puedes obtenerlo en https://t.co/tYrIKD2XPi en Villagarcía de Arosa https://t.co/S436kepHzr,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,2,4,2,0,1,1,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,,6,0,2,5,2,5.6923076923076925,4,2,1,3
1397628678876528640,_BELYCAL,"Hoxe volvemos chapotear
A-L-i-N-A 💖
Alina mailo mar en Muelle de Arcade https://t.co/To7oo9nxhr",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,1,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,5.0,9,5,3,1,0,4
1397628680013107200,_Laverbeke,Mi amiga. ❤️ #👯‍♂️ #together  #friendship en ÉCHALE GUINDAS https://t.co/fxooyYAEIH,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,1,4,2,4,0,0,1,1
1397628869784612875,_danigarciat94,"Enfócate en ti ! Al final lo único que puedes  controlar es a ti 💜 🖤 @ Madrid, Spain https://t.co/pw655JujP9",0,3,0,1,0,2,1,1,1,0,1,0,1,0,0,0,0,0,2,1,3,0,0,0,0,3,3,4,6,1,0,3,0,5,1,0,0,0,0,0,,2,0,1,2.0,2,3.5,4,2,2,2
